model_name,accuracy,balanced_accuracy,weighted_f1,phish_precision,phish_recall,phish_f1,roc_auc,pr_auc,log_loss,brier_score,true_negatives,false_positives,false_negatives,true_positives,train_time_s
Logistic Regression,0.9285508995803874,0.9327269839205926,0.9330469610849589,0.6820303383897316,0.9385788839823365,0.7899983105254266,0.9742106064591148,0.8660038181368331,0.21203414134154974,0.05446310851228583,13816,1090,153,2338,1.576
Decision Tree,0.949014197850204,0.9152449691019698,0.9499371573107924,0.7948529411764705,0.8679245283018868,0.8297831510266743,0.9271821196856112,0.8320338447090427,0.9306252808412789,0.04238933552015196,14348,558,329,2162,0.361
Random Forest,0.9728688854400184,0.9365214167218274,0.972641132974487,0.9218554116172168,0.8855881172219991,0.9033579033579032,0.9911019533462825,0.9614391308075226,0.08755109741234664,0.023397733928588894,14719,187,285,2206,1.669
Histogram Gradient Boosting,0.9732137724895097,0.9641400441024155,0.9736886472953786,0.8729281767955801,0.9514251304696909,0.9104878985785633,0.9930347399033139,0.9718493299933015,0.08175719700731847,0.021583210239111788,14561,345,121,2370,4.093
MLP Neural Network,0.9708570443179858,0.9427032715602548,0.9709175701201681,0.8942766295707473,0.9032517061421116,0.8987417615338527,0.9907381049168662,0.9630640904241753,0.07945493546851506,0.02226665935612735,14640,266,241,2250,39.111
